PlayerID,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2,1,2,1,2,6,0,0,2,6,1,2,0,9,2,1,12,2,4,6,2,2,2,1,1,2,9,8,4,2,0,0,0,1,2,1,3,1
146,7,7,1,7,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,3,7,2,1,0,0,0,0,0,0,0
147,7,1,2,3,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,1,1,2,-2,0,1,0,0,8,3,1,1,0,5,0,2,1,0,2,2,3,2,1,1,0,0,1,1,2,1,8,0,1,0,10,1,4,2
149,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,5,2,0
150,1,1,0,0,1,1,0,0,1,5,1,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,2,3,0,2,7,0,0,1,3,11,3,2,9,2,2,3,7,0,6,10,2,4,3,9,2,3,0,2,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,1,0,0,9,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,1,2,0,2,5,0,0,1,2,8,1,1,7,0,0,0,6,0,0,6,0,0,0,0,0,1,0,2,1,6,7,1,1,1,7,7,2
157,0,2,0,1,2,1,0,0,1,0,0,0,0,0,2,2,2,6,0,3,1,1,2,2,5,2,8,0,0,1,0,0,0,0,0,0,0,0
158,1,1,1,0,1,0,0,0,0,1,1,0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,2,2,0,1,1,1,1,1,0,0,0,0
159,2,2,2,2,1,3,0,0,5,2,3,1,2,1,1,1,2,10,2,3,3,2,2,1,3,2,2,1,4,14,3,3,2,6,1,6,2,2
160,2,7,12,0,7,3,0,0,2,5,3,8,1,2,12,0,2,3,2,4,3,0,0,0,0,1,4,2,1,0,0,0,0,7,1,1,0,0
161,2,2,1,2,3,3,0,0,1,2,3,2,0,3,2,1,2,3,1,6,3,6,2,2,3,0,4,8,2,5,3,3,0,8,1,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,2,0,0,0,1,0,1,1,4,1,1,2,0,1,3,2,10
164,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
165,1,1,2,6,2,7,0,0,0,2,5,2,1,6,2,2,1,5,0,1,0,0,0,1,5,0,3,0,2,2,5,6,-1,1,1,6,1,2
166,1,0,5,2,1,1,0,0,5,8,2,5,2,6,0,1,0,1,1,3,2,2,1,1,1,0,3,2,2,6,2,2,1,1,1,1,8,2
